ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;4;20;46;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;3;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;4;17;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;3;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;3;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;5;18;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;3;19;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;44;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;3;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;18;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;19;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;21;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;42;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;20;43;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;17;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;20;2;18;41;3.harold_large.jpg;true
fce7dbd6-f76c-48ac-80be-4c768803a6c2;6;22;2;17;43;3.harold_large.jpg;true
