ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;27;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;27;0;50;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;27;0;50;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;50;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;25;0;48;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;48;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;25;0;48;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;24;27;0;52;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;25;0;48;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;24;0;48;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;34;19;0;54;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;50;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;50;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;22;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;24;0;47;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;45;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;19;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;20;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;23;0;46;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;21;0;44;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;20;0;43;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;26;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;23;25;0;49;3.harold_large.jpg;true
60609efc-be37-4960-98f7-19ef98fb0d39;5;22;19;0;42;3.harold_large.jpg;true
