ID;Number of Threads;Execution time for reading image (ms);Task Execution time (ms);Execution time for retrieving result from tasks (ms);Total processor execution time (ms);Image name;Successful
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;24;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;34;0;57;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;24;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;34;0;57;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;24;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;28;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;29;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;28;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;35;0;57;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;24;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;36;0;58;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;25;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;29;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;33;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;35;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;31;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;28;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;33;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;31;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;26;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;28;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;28;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;30;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;28;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;25;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;24;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;34;0;57;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;23;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;28;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;35;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;24;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;28;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;25;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;28;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;32;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;24;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;35;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;52;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;24;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;25;0;46;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;48;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;23;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;54;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;30;0;51;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;26;0;47;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;32;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;31;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;32;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;49;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;30;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;33;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;55;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;29;0;50;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;22;30;0;53;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;34;0;56;3.harold_large.jpg;true
ee9be9a9-d4c0-4a2b-89d0-fd18b4196790;5;21;27;0;48;3.harold_large.jpg;true
